texto_procesado,labels
acuerdo desempeño describir objetivo clave institución deber esforzar él lograr transcurso período tres año ministerio reúnir cada institución año discutir progreso hacia logro objetivo requerir cada institución final año reporte dato base dato estadístico educación superior dbh presente informe anual ministerio información utilizado ministerio desarrollar informe anual educación superior desarrollar cartar retroalimentación anual institución desempeño anual larsen et,4
único país exigir máster enseñar preescolar inglaterra francia islandia italia nivel formación exigir enseñar primario 11 35 país disponer dato enseñar estudio general primero ciclo secundario 16 país enseñar segundo ciclo secundario 22 país véar tabla d61 b c d cambio casi 40 profesor sentir insuficientemente preparado aspecto pedagógico enseñanza proporción alto cualquiera 34 país participar encuesta tali véar gráfico d6a francia proporción inferior 76 aún bajo centro privado sólo 69 frente medio talis 86,4
tendencia creciente mayor proporción graduado artes comparación corriente técnico científico mismo tiempo escuela técnico vocacional producir número decreciente graduado reconocimiento creciente necesidad fortalecer programa capacitación penang ejemplo centro desarrollo habilidades penang psdc establecer 1989,4
poder involucrar sistema acreditación certificar escuela capaz administrar presupuesto gasto operativo partir proceso evaluación escolar medio inspección ver capítulo 4 otorgamiento autonomir deber entonces asociar monitoreo relevante enfocado especialmente monitoreo resultado ver capítulo 2 deber exigir desarrollar plan desarrollo escolar vincule prioridad educativo escuela intención gasto colaboración comunidad escolar,4
estudiante pobre costa rico menos diez posibilidad llegar universidad brecho oportunidad mayor mayoría país ocde impulsor clave mejorar sistema educativo mejorar rápidamente impulso concertado expandir educación primero año alto expectativa profesional maestro liderazgo mejorar parte escuela sólido sistema información evaluación poder guiar reforma aún logrado ganar impulso necesario costa rico papel nivelación campo juego niño familia desfavorecido particularmente crítico,4
gráfico poder ver 734 ciento niño privado absoluto tres dominio mientras 19 ciento niño privado simultáneamente tres aproximadamente 35 ciento niño belga privado ocio educación solo frente 11 ciento comunidad únicamente existir privación superpuesta ocio comunidad 15 ciento educación comunidad 13 ciento ocio educación 35 ciento general poder concluir relativamente poco niño vivir bélgico enfrentar múltiple privación superpuesta mientras aquel sufrir privación predomina privación ámbito comunitario,1
personal docente formado miembro cristiano judío musulmán programa estudio integrar práctico educación teoría tasa matrícula alto estudiante pagar usd 2 500 2010 presupuesto universidad usd 18 millón 50 presupuesto cubierto consejo administración principalmente illinois austriar 25 tasa matrícula resto comunidad árabe local,4
portugal indicador experiencia paciente figurar utilizado contratar asistencia sanitario primario aunque mayoer sistema sanitario ocde contar menos encuesta recoger prem menudo hacer forma estandarizado observar corea australia soler recoger poco frecuencia japón ejemplo prem recoger vez cada tres año sistema dato prom hacer público poder utilizar él ayudar paciente tomar decisión mejor informada ideal dato prom transmitir médico ayudar él mejorar atención resultado paciente,3
poco país logrado construir epr proyecto reino unido connecting for health retrasar varios vez poco éxito logrado provincia canadiense albertar población ligeramente menor finlandia información poder usar él promover aún medicina basado evidenciar comparar proveedor hospital benchmarking project desarrollado 1996 hakkinir 2010,3
lado aunque consumo general alcohol alto tasa consumo excesivo alcohol1 austriar 19 ligeramente debajo medio ue 20 adolescente 201314 20 niña 15 año chico 15 año declarar haber él emborrachar menos dos vez vida proporción similar medio ue si bien proporción seguir ser bajo mayoría demás país ue aumentado sustancialmente 1999 solo 9 adulto austriaco obeso adulto austriaco encontrar activo físicamente ue inactividad físico joven 15 año relativamente alto,3
último tema particularmente importante material curricular tarea educativo poco relevancia significado grupo dentro población estudiantil incluido estudiante indígena young 2010 comparación estudiant propio país tres grupo bajo rendimiento realizar menos tarea cada semana indicador particularmente pronunciado alumno bajo rendimiento australia figurar 63,4
educación cuidado primero infancia eapi alto calidad poder generar mejor resultado etapa posterior vida ejemplo número año pasado eapi fuerte predictor nivel desempeño dentro escuela alcanzado etapa posterior mismo modo niño origen inmigrante niño desfavorecido nivel mundial poder beneficiar él máximo asistir eapi alto calidad embargo beneficio asistir ecec limitar resultado aprendizaje,4
solicitante deber buscar trabajo activamente mayoría caso desempleo deber ser involuntario aunque poder ser difícil observar práctico definición varía según país duración beneficio limitado mayoría país seguro obligatorio mayoría empleado voluntario país nórdico buscador empleo cuyo derecho prestación seguro desempleo expirado cuyo historial laboral insuficiente hacer él elegibl primero lugar poder tener derecho asistencia desempleo país asistencia desempleo principal prestación desempleo,1
sección 3 investigar estrategia promover formación profesional calidad incluido aprendizaj mientras sección 4 centrar apoyo estudiant riesgo descripción detallado evaluación sistema educativo letonia véar ocde 2015e ministerio educación ciencia moes nacional función supervisión través centro nacional educación subordinado establecer estándar educativo nacional determinar plan estudio procedimiento examen proporcionar marco regulatorio provisión educación vocacional emplear director establecimiento vet1 mantener registro estándar ocupacional estudiar demanda habilidadser mercado laboral,4
persona siete nueve año escolaridad índizar pobreza similar promedio esperar porcentaje pobre mayor desempleado ocupado económicamente inactivo además ocupado tasa pobrezar menor asalariado trabajador contar propio varios país tasa pobreza similar población económicamente inactivo plantear preguntar si política público alivio pobreza poner suficiente énfasis lograr estándar mínimo mirada amplio pobreza incluido deficiencia esfera protección social ingreso explorar relación diferente dimensión privación particular explorar conceptual empíricamente diferente dimensión umbral forma sumar dimensión avanzar hacia construcción índice pobreza multidimensional relevante aplicable todo región,1
país alumno segregado diferente vía edad temprano reflejar noción sólo niño poder alcanzar nivel clase mundial pís mostrar selección relacionado grande disparidad social contrario país tanto diferente estonia canadá finlandia japón padre profesor comprometido creencia alumno poder alcanzar alto nivel,4
esencial garantizar acceso servicio salud volver menos equitativo resultado intervención ghp nuevo ghps deber introducir él solo respaldir objetivo manera intervención ghp poder responder característica específico sistema salud doméstico respectivo necesidad,3
creer currículo integrado tipo contribuir epi alto calidad mejor comportamiento social tabla 12 bennett 2004 sirajblatchford 2010 ejemplo considerar suecia educación primero infancia alto calidad parte contenido currículo conceder mismo valor aprendizaje social cognitivo sheridar et 2010,4
mayoría país ingreso familiar incluir valor alquiler imputado vivienda ocupado propietario chile pobreza disminuir levemente 2006 2009 tasa indigencio permanecer básicamente cambios3 tasa pobreza indigencia salvador cambiar 2004 2009 chilar cifra aquí presentado diferir primero vez estimación oficial país mideplar,1
según director escuela participar pisa 2015 estudiante promedio país ocde asiste escuela 84 docente obtener certificación completo proporción variar ampliamente 100 macao chinar alrededor 10 colombia hallazgo mostrar proporción docente ser certificar enseñar asocia positivamente desempeño estudiant solo poco país seleccionado después tener cuenta perfil socioeconómico estudiant escuela figurar 19 débil impacto general sorprendente dar diferente estándar utilizado diferente país certificar docente hecho mayoría país alto porcentaje docente certificado,4
ventaja relativamente pequeño mujer áfrico 20102015 principalmente consecuencia impacto diferencial epidemia vihsido nivel mortalidad sexo prevalencia estimado vih mayor mujer hombr región desarrollado ventaja femenino mayor europa 74 año 113 ciento américo norte 47 año 61 ciento oceanir incluir australia nuevo zelanda tasa mortalidad infantil conocido tasa mortalidad menor cinco años1 disminuir ritmo notable alrededor 3 ciento anual 1990 2015,3
mep reconocer evaluación reformado deber pasar evaluar conocimiento contenido examinar habilidad estudiant aplicar utilizar conocimiento forma demostrar competencia ordir superior suponer mejora significativo respecto evaluación anterior sólo captar gama limitado actividad aprendizaje nuevo evaluación deber incluir modificación,4
incidente gran importancia historio atención salud mental japón ataque cuchillo entonces embajador ee uu japón edwin reischauer parte persona esquizofrenia 1964 ataque generar alarma público significativo contribuir aumentar estigma enfermedad mental impulsado campaña medio comunicación además alto nivel existente estigma dirigido hacia trastorno mental incidente contribuir revisión 1965 ley higienir mental discutido anteriormente 1993 ley salud mental enmendado nuevamente enfoque particular atención comunidad incluido autorización construcción hogar grupal comunidad persona trastorno mental tatar okamoto 2009 ley atención salud comunitario introducido 1994 apoyar aún establecimiento sistema salud mental basado comunidad,3
liderazgo particular factor clave eficacia escolar parecer figurar fuerza marco evaluación proyecto estrategia desarrollo liderazgo escolar asociación nacional smarter schools llevar cabo aitsl pretender desarrollar enfoque nacional mejorar capacidad liderazgo escolar típicamente revisión escolar ir seguir formulación recomendación mejora suponer escuela deber aplicar tras preparación plan mejora embargo equipo revisión formar opinión grado seguimiento parte autoridad revisión escolar variable incluso dentro mismo jurisdicción educativo depender capacidad red regional,4
embargo resultado empírico sugerir poder obtener uso recurso educativo aumentar equidad través política proporcionar señal pertinente escuela docente ejemplo brindar incentivo financiero docente calificado poder resultar herramienta eficaz dirigir él estudiante desfavorecido área tercer lugar trabajo lleno vacío investigación empírico proporcionar evidenciar país diferenciar país específico importancia político intervención temprano atenuar desigualdad socioeconómico intergeneracional oportunidad educativo sugerir política cuidado infantil intervención temprano poder ser efectivo alcanzar objetivo finalmente análisi país intentar descubrir papel jugar política social mercado laboral influir igualdad oportunidad educativo dado relación positivo desigualdad intergeneracional transversal ingreso,4
2016 publicar primero informe consejo asesor desarrollo indicador calidad establecer sistema seguimiento público indicador calidad 2002 ehif llevado cabo cinco auditoría clínico colaboración experto cada año ejemplo 2013 sugerir 675 visita especialista hipertensión 20 visita especialista diabet poder considerar él evitabl manejar él manera adecuado atención primario,3
sistema educativo serie característico promover equidad incluido alto proporción estudiant matriculado educación primero infancia bajo repetición grado escolarización integral 16 año tasa graduación secundario superior alto igual tasa matriculación educación formación profesional fp abandono fp alto educación terciario accesible través política plar subvención préstamo financiado fondo público encuesto habilidadser adulto ocde adulto dinamarca demostrar habilidad alfabetización debajo promedio habilidades aritmético encima promedio comparación promedio país participant adulto joven obtener puntaj alrededor promedio,4
mayoría persona 25 64 año alemania 55 obtenido cualificación profesional nivel secundario superior postsecundario cuarto proporción grande país dato disponible promedio ocde 33 debido alto incidencia cualificación profesional hecho título general principalmente abitur dedico educación superior entrada directo mercado laboral solo 3 adulto obtener cualificación general secundario superior postsecundaria grado alto proporción bajo país ocde promedio ocde 12 tabla 2005 2012 tasa desempleo reducir 7 punto porcentual adulto educación secundario superior 201 128 6 punto porcentual educación secundario superior postsecundaria terciario 110 53 3 punto porcentual título terciario 56 24,4
excelente atención médico fundamental lograr él ahora atención médico japonés buen desempeño esperanzo vida largo 832 año comparación promedio ocde 802 año mientras gasto salud usd 3 649 ppa per cápita año ligeramente superior usd 3 484 promedio característico llamativo sistema salud japonés aperturar flexibilidad,3
consolidar aún marco evaluación evaluación espacio incorporar enfoque evaluación evaluación objetivo educativo amplio continuar construir profesionalismo docente construir red capacidad evaluación evaluación efectivo visión futuro particular área evaluación alumno aular evaluación docente autoevaluación escuelo después descripción general capítulo siguiente 36 analizar problema relacionado cada componente individual mayor profundidad término evaluación utilizar referir él juicio desempeño individual estudiante lograr meta aprendizaje,4
capítulo comenzar descripción general reforma tailandio relacionado uso tic educación luego proporcionar análisis problema político relacionado área presentar recomendación mejorar apoyar uso tic mejorar calidad equidad educación sistema educativo conjunto objetivo estrategia ser utilizar tic crear tailandia inteligente sociedad inteligente alfabetizado información conocimiento beneficiar ciudadano sociedad conjunto ministerio tic 2009a educación ser pilar clave esfuerzo,4
primero programa fortalecimiento gestión escolar invertir mex 41 millón 595 escuela buscar apoyar líder escolar gestión recurso escolar gobiemo more él 2016a ambición similar programa escuela calidad programa escuela cualidad objetivo fortalecer autonomía institución educación básico gestión recurso tiempo apoyar cada escuela consejo técnico escolar adopción mejor práctica poder ayudar él cumplir planificación evaluación asignación responsabilidad presupuestaria manera efectivo través inversión mex 2657 millón 201516 total 475 escuela beneficiar programa comparación año anterior representar expansión 55 escuela nuevo gobiemo morelo 2016a componente programa escuela calidad implicar evaluación maestro instrucción salón clase director capacidad liderar así actividad aumentar participación padr aprendizaje hijo probable costo instrucción niño desfavorecido alto acomodado morelo tomar medida positivo paliar necesidad,4
actualmente existir país 4500 centro tratamiento rehabilitación privado alrededor 600 público según estadística oficial 2014 total 65216 persona registrado consumidor drogas kazajstán kirguistán tayikistán uzbekistán frente total 73345 persona 2013 número drogodependient registrado oficialmente kazajstán 2014 situar 34221 persona representar disminución significativo comparación 40224 persona 2013 kirguistán 9024 persona registrar oficialmente drogodependient 2014 representar 88 menos 2013,3
información contenido documento relacionar área bajo control efectivo gobierno república chipre andradir ofa bueno 2008 contribución educación ocupación actividad estimulación cognitivo formación reservo cognitivo dementiar and neuropsychologia vo 2 working paper roarm20101 centro investigación educación mercado laboral roa maastricht,4
personal docente lituania aunque formación grado mostrar habilidad numérico bajo graduado educación terciario bajo nivel promedio docente país miembro ocde participar encuesta habilidad adulto figurar 35 puntaj competitivo utilizado admisión educación superior basar puntaj exámén maturo mostrar puntaje mínimo requerido ingresar programa formación docente consistentemente bajo requerido campo popular selectivo medicina tabla 36 principal proveedor programa formación docente universidad pedagógico país recibido aprobación institucional limitado organismo garantir calidad educación superior país debat curso formar programa institución poder desempeñar mejor función inicial formación docente,4
innovación aproveche nuevo oportunidad beneficiar intercambio conocimiento práctico cómo implementar reforma éxito investigación enfatizar particularmente necesidad utilizar diverso estrategia enseñar aprender diferente circunstancia significar incluso si informir centrar rea decir recurso educativo particular medio educativo intentar mantener foco interacción proceso infraestructura organizativo medio utilizar red colaboración conocimiento dado perdido investigación,4
fortalecimientir atención primario público comunitario dar resultado menos autorreferencia departamento emergencia hospita él dolencios afección menor costo tratamiento alto finalmente mejor manejo condición crónico entorno atención primario contribuir prevenir deterioro necesidad atención hospitalario ejemplo médico cabecerar médico familio privado vinculado sistema myhealth ahora poder hacer derivación servicio solo poder solicitar especialista hospital además gamar servicio prestado atención primario ampliado incluir ejemplo clínico gestión enfermedad crónico clínico estilo vida saludable,3
microrregión hunger subregión estadístico 149 microrregión total budapest incluido sistema atención diurno comprender servicio atención salud brindar paciente ingresar formalmente hospital establecimiento ambulatorio centro autónomo intención dar alta paciente mismo día,3
piloto éxito ahora construir plataforma digital permanente mismo ocurrir país país mejor desempeño pís japón singapur corea sur asia estonia finlandia europa canadá américo norte obtener primero lugar evaluación pís resolución colaborativo problema ejemplo estudiante japonés bien materia aún mejor resolución colaborativo problema,4
ejemplo coste médico anual directo unidos varón diagnosticar diabetes complicación ascender 2465 dólares embargo coste disparar enfermedad avanza aparecer complicación coste anual aumentar 70 150 caso paciente cardiopatía coronario insuficiencia cardiaco congestivo hemiplejía amputación,3
mo responsable desarrollo política educativo plan estratégico aprobado gobierno coordinar departamento educación municipal implementación político educativo estatal coordín distribución financiación escolar presupuesto estatal asignación fondo estructural ue ministerio responsable garantir calidad acreditación plan estudio educación general examen final ministerio oficina nacional auditoer lituania desempeñar papel clave realizar periódicamente auditorías financiero institución presupuestaria campo educación revís actividad mo través auditoría desempeño planificado,4
embargo último año observado aumento actividad médico concertado prestar asistencia ambulatorio así aumento constante número honorario médico cabecerar especialista concertado regulado gran medida sólo cubierto parte seguro social enfermedad véar apartado 4 acceso asistencia ambulatorio basar cada vez capacidad pago necesidad médico poder contribuir disparidades lander así zona urbano rural,3
organización brindar apoyo mejorar calidad hospital práctico atención primario junto nhs paciente cuidador comunidad hacer especial hincapié fomentar participación paciente tomar decisión compartido esfuerzo mejorar eficacia seguridad atención centrado paciente objetivo clave inspección reducir infección adquirido atención salud mediante promoción prevención control infección 1 octubre 2013 31 diciembre 2014 realizar 51 inspección cual 41 anunciado,3
mediano plazo cambio tecnológico jugar papel importante explicación crecimiento largo plazo factor riesgo obesidad cambio prevalenciar enfermedad crónico entrar escena thorpe et factors influing the future trayectoria of health insurance include demandsidir factor such as aging and the health población crecimientir ingreso comportamiento consumidor impulsor lado oferta progreso tecnológico cambio práctico tratamiento productividad precio salud2 factor regulatorio característico institucional sistema salud financiación,3
enfocar plan 20062009 creación contenido aprendizaje electrónico mejora continuo calidad currículo mediante uso tic hecho mayor desafío sistema educativo poder ofrecer oportunidad capacitación aprendizaje grupo tradicionalmente desatendido marginado incluir niña mujer enfrentar barrera escolarización población rural demasiado dispersa poblar escuela regular manera rentable tamaño clase razonable niño familia extremo pobreza grupo necesidad especial persona discapacidad acceso aprendizaje centro lado seguimiento hacer seguimiento resultado plán estudio adaptado tic,4
ejemplo programa transferencia monetario prosperar anteriormente conocido oportunidad progrés alentar familia desfavorecido enviar hijo escuela chequeo médico cubrir alrededor 65 millón familia mexicano ayudar aumentar tasa inscripción escuela secundario reducir incidencia anemiar niño reducir tasa pobreza zona rural junto deber continuar esfuerzo adicional mejorar calidad oportunidad educativo brindar,4
tasa letalidad persona ingresado infarto dinamarca encontrar ahora bajo país ue informar dato figurar 11 bajo admisión accident cerebrovascular debido parte diagnóstico temprano mejor tratamiento mujer danés diagnosticada cáncer mama cuello uterino mayor posibilidad supervivencio cinco año ue ocde dinamarca ofrecer modalidad detección primario prueba virus papiloma humano identificación temprano cáncer cuello uterino iarc 2017 tasa general mortalidad cáncer dinamarca cuarto alto ue,3
medida sector salud incluir reducción salario trabajador salud recort gasto farmacéutico público revisión precio proveedor privado práctica médico objeto introducción directriz clínico esfuerzo reciente centrar cambio mecanismo pagar proveedor desarrollo evaluación tecnología sanitario definición listo nacional producto farmacéutico pauta prescripción,3
mismo tiempo base ingreso contraer provocar caída ingreso total gobierno término nominal alrededor 7 aunque gasto salud porcentaje gasto total gobierno mantener razonablemente constante tiempo deudo público aumentar rápidamente doble porcentaje pib hacer frente caída ingreso gobierno incluir cambio político cargo usuario elegibilidad sector público objetivo aumentar ingreso reducir demanda innecesario servicio llamado renovado implementar nuevo sistema universal salud ver cuadro 1,3
oficina ejecutivo presidente república kazajstán desempeñar papel importante definición estrategia educativo desarrollo iniciativo clave mientras ministerio educación ciencio concentrar diseño política aplicar estrategia educativo región oblasts distrito rayon responsable prestación servicio educativo escuela enseñanza primario secundario obligatorio kazajstán estudiant derecho asistir gratuitamente centro público,4
poder hacer él mediante estimación tasa riesgo proporcional utilizar estimador kaplanmeier estimar función supervivencio probabilidad alguien sobrevivo especificado allá cierto tiempo incluso mostrar censurado sesgado denisova 2011 embargo tratar probabilidad incondicional poder utilizar él representar posibilidad general entrar salir pobreza sino tasa riesgo condicional indicar ejemplo cuál posibilidad alguien salir pobreza si decir dos año dado conjunto característico especificada ejemplo característica hogar situación adulto mercado laboral derecho recibir transferencia público característico capital humano región tiempo función probabilidad condicional poder estimar él relación umbral pobreza relativo pobreza absoluto,1
decir cualquiera persona cuyo ingreso inferior 50 ingreso medio equivalente riesgo pobrezar unión europea utiliza umbral 60 gasto vivienda12 mientras umbral bajo dar lugar vez denominar medida pobreza severo brewer et headcount ratio in the late 2000s revealed that 128 of the over65s were poor in the oecd area figure 28,1
criterio identificación pobre comparar método indirecto tradicional región definir pobreza base ingreso per cápita hogar él tomar base análisis encuesta disponible condición vido hogar región brindar dato implementación ambos metodología mejorar estudio diagnóstico evaluación américo latino caribe utilizar umbral privación moderado reflejar necesidad insatisfecho socavar bienestar desarrollo niños,1
primero reforma conducir plan nacional salud mental 19992008 traer mejora sustancial servicio salud mental ámbito atención primario especializado luego instituir esquema médico general regular 2001 mejorar calidad acceso servicio atención primario salud médico cabecerar normalmente responsable listo paciente 1 500 persona,3
beca subvención hogar ascender 154 gasto público educación terciario encima promedio ocde 116 dos universidad público región lisboa universidad lisboa universidade lisboa universidad técnica lisboa universidade tdcnico lisboa fusionar solo institución ministerio proporcionar beca estudiant función necesidad financiero limitar impacto inscripción estudiante recorte presupuestario actual debido crisis financiero,4
permitir comparación período idéntico 10 año frente dato pobrezar relativamente escaso período utilizado 19952005 período 10 año superponer perfectamente utilizado mundo cuatro velocidad capítulo 1 país presentar modo según lugar clasificación década 1990 2000 elasticidad promedio país tabla 41 076 071 si excluir valor atípico,1
embargo proporción mayor quintil mayor ingreso 82 menor 56 brecha mayor suecia dinamarco ue conjunto figurar 4 tabaquismo habitual adolescente 15 año disminuir aún rápidamente 30 200102 13 201314 seguir ser alto varios país ue1 reflejar resultado positivo estudio tabaco bastante completo político control ver sección 51,3
término logrado uso generalizado ejemplo farrington et referido supercognitivo enfatizar hecho factor depender emerger pensamiento idea significado desarrollado cognitivo particular intrator siegel 2014 cualesqueír exactamente habilidad contexto cambio concertado hacia pedagogía apuntar desarrollar competencia personal social alto nivel,4
responsable autoridad federal general preocupado desarrollo nacional compromiso regional local país institución educación superior malasia misión regional explícito dejar iniciativo institución individual universidad intensivo investigación principal impulsor excelencia científico,4
suecia iniciar consejo nacional prevención suicidio 1993 convertir él primero país mundo establecer estrategia nacional integral prevención suicidio 1994 decisión parlamentario conducir creación centro nacional investigación suicidio prevención enfermedad mental nasp red coordín cooperación actor involucrado incluir proveedor atención médico servicio social escuela iglesia ong objetivo facilitar esfuerzo prevención suicidio integrar trabajo salud público nacional nivel local,3
general atención primario servicio atención agudo dinamarca parecer funcionar manera eficiente creciente demanda proporción paciente acudir departamento urgencia debido falta disponibilidad atención primario bajo país ue 201113 figurar 14 tasa ingreso hospitalario potencialmente evitabl insuficiencia cardíacar bajo ejemplo tasa admisión estandarizado diabet variar 15 vez región admisión evitabl persona mayor 65 año variar doble municipio danés menos 40 90 1000 habitante retraso alto hospitalaria variar ampliamente ocde sugerir alguno variación injustificado acceso calidad servicio atención primario atención posagudar así necesidad mayor coordinación nivel atención,3
enfocar aquí aspecto pobrezar reflejar situación violación derechos humanos basar proposición pobrezar negación derechos humanos faltar acceso alimento impedir pobre liberar hambre vulnerabilidad reducción protección social someter precariedad ingreso discriminación experimentar vida social política privo dignidad,1
especialista concentrar grande ciudad escasez problema particularmente apremiante zona rural según informe escasez especialista medicín urgencia anestesista especialista cuidado intensivo oftalmólogo especialmente acuciante zona rural municipio rural probado serie iniciativo atraer especialista incluido suplemento salarial alojamiento gratuito embargo escasez persistir indicar problema complejo probablemente necesitar iniciativa adicional mejora educación rural servicio atraer profesional salud familia demandar enfermera especializado enfermera quirúrgico enfermera cuidado intensivo particularmente alto europa llevar tasa expatriación enfermera relativamente alto 50 mencionar anteriormente ocde 2015c aunque mucho volver trabajar enfermería después crisis financiero mundial 2008 ofrecer empleo estable comparación sector afectado recesión económico promedio uno 150 enfermera elegir dejar trabajar enfermera mientras 200 350 enfermera entrenado cada año,3
adulto comenzar trabajar riesgo caer pobreza disminuir bélgica mientras aumentar dinamarca islandia luxemburgo mientras permanecer hogar trabajo asocia mayor riesgo caer pobreza chipre estonia hunger menor riesgo bélgico finalmente niño hogar desempleado tiempo t1 decir menos adulto encontrar trabajo mucho probabilidad caer pobreza estonia hunger uso línea pobreza móvil producir resultado cualitativamente similar estimación disponible autor previo solicitud,1
aumento movilidad internacional trabajador salud hecho tarea aún desafiante comparación caso gobierno poder determinar oferta demanda trabajador salud existir desafío adicional abordar disparidad densidad médico región especialidad probable incentivo financiero solo mejorar preocupación área,3
varios estudio señalar importancia implicación familiar seguimiento práctico calidad servicio edward et investigación indicado implicación familiar educación temprano gran influencia aprendizaje desarrollo niños hidalgo epstein siu 2002 hallar prueba participación familiar importante ayudar niño tener éxito educación,4
realizar comparación variedad país ocde miembro ocde región municipio dentro federación rusa24 resultado ambos dimensión sugerir existir margen sustancial mejorar eficiencia gasto público comparación país sugerir resultado salud federación ruso similar logrado país gastar 30 40 menos resultado base comparación regionesmunicipio sugerir resultado salud actual poder producir él aproximadamente dos tercio insumos actual si región menos eficiente poder emular eficiente región éxito lograr resultado aunque recurso disposición vez ser modestos25 hacer dos región demostración banco mundial voronezh república chuvash parecer haber éxito considerable mejora oferta atención salud resultado salud demostrar existir potencial considerable mayor desempeño recuadro 31,3
dato incluir paso caminatar peso presión arterial índice masa corporal porcentaje grasa visceral tasa muscular porcentaje grasa corporal niveles hbalc hdlc ldlc primero medición realizar febrero 2009 seguir segundo medición agosto 2009 resultado mostrar número participant cuatro enfermedad crónico disminuir seis persona demostrar tasa mejorar 833 ciento,3
1990 2015 mil millón persona salir pobreza extremo embargo lograr od 1 fácil 700 millón persona seguir luchar pobreza extremo vivir menos 190 dólares día población mundial seguir crecer esfuerzo erradicación pobrezo exigir lleguemos comunidad marginado dentro vía desarrollo actual carecer capacidad productivo vivir área remoto acceso servicio enfrentar discriminación mucho persona escapar pobreza ingreso poder seguir ser relativamente pobre contexto local enfrentar privación salud educación viviendo,1
análisis cohorte longitudinal basado red indepth sitio vigilancia demográfico salud wwwindepthnetworkorg mostrar asociación estatus socioeconómico mortalidad menor cinco año mwageni 2011 asociación sostener cuenta factor debpuur 2011 dato país provenir encuesta dhs reciente realizado 20052013 ponderado tamaño población 2005 cada 50 país regresión multivariado figura 9 presentar efecto medido riqueza hogar mortalidad infantil edad 04 año 059 mes tres región incluido análisis riesgo relativo neto morir cumplir cinco año niño nacido áfrica hogar rico 89 ciento niño hogar pobre región contraste riesgo relativo neto morir niño nacido asia hogar rico solo 52 ciento niño hogar pobre,3
